Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.04512446001172066,0.40977251529693604,0.0,0.0,0.0,0.0,0.0,0.045274071395397186,0.4098151922225952,0.08073790371417999,8.604139293311164e-05,0.03633676469326019,0.13677416741847992,0.00014982401626184583,0.015697438269853592,9.637870243750513e-05,0.012736313045024872,-0.0005533366929739714,0.3293391764163971,0.3095337152481079,-1.2031784535793122e-05,0.00013746228069067,0.05399135500192642,0.05276967212557793,0.17362135648727417,0.17531321942806244,0.0005645155324600637,0.012023652903735638,-8.642803732072935e-05,6.155207665869966e-05,-0.0005956119857728481,0.0003535943978931755,0.6373826861381531,0.634244441986084,0.18826614320278168,0.18767467141151428,-0.0006571281119249761,-0.0003036804555449635,0.46038463711738586,0.2955762445926666,0.2958321273326874,2.6781894121086225e-05,0.09864135831594467,0.10562697052955627,0.011376835405826569,0.018899988383054733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6107847690582275,0.4680209755897522,5.337543487548828,0.696487545967102,9.361377716064453,2.096942186355591,5.16037130355835
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.046905964612960815,0.40570029616355896,0.0,0.0,0.0,0.0,0.0,0.047029048204422,0.4056349992752075,0.09009227156639099,3.98524098272901e-05,0.03777063265442848,0.1595430225133896,-1.1573582924029324e-05,0.017390349879860878,2.0869150830549188e-05,0.011867196299135685,-0.0005522137507796288,0.3515562117099762,0.333571195602417,-1.7905225831782445e-05,3.037121132365428e-05,0.05486224219202995,0.05330108106136322,0.17202787101268768,0.17124660313129425,0.0005224656779319048,0.011006399057805538,-0.00023925435380078852,0.00042654111166484654,-0.0004373154370114207,0.0006602883222512901,0.6744098663330078,0.6713125109672546,0.22450527548789978,0.2257525622844696,-0.0007439434411935508,-0.0002826102136168629,0.41518494486808777,0.27714917063713074,0.2773898243904114,-4.778187576448545e-05,0.11467178165912628,0.12293713539838791,0.036417409777641296,0.047677427530288696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7231987714767456,0.4695340394973755,5.118907451629639,0.7159069776535034,9.718868255615234,1.915860891342163,5.077263832092285
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.05312654376029968,0.40940016508102417,0.0,0.0,0.0,0.0,0.0,0.053189054131507874,0.4091934263706207,0.09664321690797806,4.1352363041369244e-05,0.03804421424865723,0.18422673642635345,-6.1029346397845075e-05,0.021347222849726677,-8.9069453679258e-06,0.011164775118231773,-0.0006059717852622271,0.3518654704093933,0.3360094130039215,-1.7092219422920607e-05,-7.935378380352631e-05,0.055958595126867294,0.054298270493745804,0.17132440209388733,0.16854052245616913,0.0004562445974443108,0.01029140129685402,-0.0003648216661531478,0.000711858447175473,-0.00015207652177195996,0.0010459900368005037,0.6925557851791382,0.6894514560699463,0.24591390788555145,0.24788732826709747,-0.000883785483893007,-0.00034602597588673234,0.36707404255867004,0.2585160732269287,0.2587426006793976,-3.807838947977871e-05,0.12248247116804123,0.131817027926445,0.053479161113500595,0.06657253950834274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7771801948547363,0.4480363130569458,4.978405952453613,0.7168253660202026,10.18913459777832,1.7402722835540771,4.939882755279541
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.0576142817735672,0.4232328534126282,0.0,0.0,0.0,0.0,0.0,0.057546716183423996,0.4229374825954437,0.09388990700244904,0.00012398659600876272,0.03974539041519165,0.19556814432144165,2.503261021047365e-05,0.04157388210296631,-2.9461010853992775e-05,0.012249130755662918,-0.0005837660864926875,0.32363972067832947,0.30471500754356384,8.58151979628019e-05,-0.000161554547958076,0.05487219989299774,0.052695464342832565,0.16396518051624298,0.16148383915424347,0.00038732256507501006,0.009683651849627495,-0.00043055068817920983,0.001254283357411623,0.00015130918473005295,0.0013769158395007253,0.671709418296814,0.6665370464324951,0.25159981846809387,0.2518894374370575,-0.0007829749374650419,-0.0003740210959222168,0.3276037275791168,0.2407703846693039,0.24100060760974884,-1.8822662241291255e-05,0.11855131387710571,0.12563444674015045,0.055477648973464966,0.06818360090255737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.829471468925476,0.4390961229801178,4.56721830368042,0.6745809316635132,10.472923278808594,1.7329583168029785,5.0137786865234375
00:00:00:14.233,68,0.0,0.0,0.0,0.0,0.0,0.05758469179272652,0.4345777928829193,0.0,0.0,0.0,0.0,0.0,0.05744286999106407,0.43435490131378174,0.08414184302091599,0.0003994646540377289,0.041424598544836044,0.18245965242385864,6.817266694270074e-05,0.06573209911584854,-8.611306839156896e-06,0.015357621014118195,-0.0005204754415899515,0.2958141267299652,0.2683820426464081,0.00023735225840937346,-0.0002603110915515572,0.050918955355882645,0.04819692671298981,0.1441257894039154,0.14384512603282928,0.0003191378200426698,0.009456288069486618,-0.0004633129865396768,0.0014201964950188994,0.0004419140168465674,0.0015937958378344774,0.6072736382484436,0.5992661714553833,0.2407950460910797,0.23707462847232819,-0.0007254970259964466,-0.0006419177516363561,0.29677700996398926,0.2244570106267929,0.22470785677433014,5.131550096848514e-06,0.11041634529829025,0.11397693306207657,0.04532729461789131,0.055455975234508514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8167669773101807,0.43779945373535156,4.224841594696045,0.6735299825668335,10.749000549316406,1.742607831954956,5.055179119110107
00:00:00:14.250,68,0.0,0.0,0.0,0.0,0.0,0.05414116382598877,0.4439067840576172,0.0,0.0,0.0,0.0,0.0,0.05394832044839859,0.4437044858932495,0.06954211741685867,0.000553674646653235,0.041755978018045425,0.15621782839298248,0.00010355517588322982,0.08553626388311386,6.057776408852078e-05,0.016755778342485428,-0.00039684231160208583,0.27306821942329407,0.24101577699184418,0.00025731921778060496,-0.0002572509984020144,0.046181730926036835,0.04328087717294693,0.11674623191356659,0.11894449591636658,0.00034299190156161785,0.00919825118035078,-0.0004939497448503971,0.001363544026389718,0.0005547323380596936,0.001631961902603507,0.5220080018043518,0.5128833651542664,0.22259005904197693,0.21596461534500122,-0.0007889902335591614,-0.0008381099905818701,0.276620477437973,0.20651358366012573,0.20678311586380005,-1.1489502867334522e-05,0.1020883247256279,0.10355973988771439,0.0354127511382103,0.044480353593826294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7255475521087646,0.44108846783638,3.8034908771514893,0.6836506128311157,10.769250869750977,1.9330291748046875,5.362597465515137
00:00:00:16.266,68,0.0,0.0,0.0,0.0,0.0,0.05161090940237045,0.4512714147567749,0.0,0.0,0.0,0.0,0.0,0.0513976514339447,0.4511384665966034,0.056046146899461746,0.0006601778441108763,0.04104367271065712,0.13037115335464478,4.7372282097057905e-06,0.09643368422985077,3.265060513513163e-05,0.018908224999904633,-0.00043153282604180276,0.264315664768219,0.22588272392749786,0.0002693760325200856,-0.00031591032166033983,0.04251149296760559,0.03928886353969574,0.09160999953746796,0.0941699966788292,0.0003305338032077998,0.009039166383445263,-0.00045518053229898214,0.0014583392767235637,0.0009068372892215848,0.0018872864311560988,0.4434419870376587,0.43092986941337585,0.19557373225688934,0.18585649132728577,-0.0007676112581975758,-0.0009325332939624786,0.26582619547843933,0.19391760230064392,0.19422805309295654,7.362354517681524e-05,0.09754273295402527,0.09738752990961075,0.02792379818856716,0.036170464009046555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.582576036453247,0.4500253200531006,3.5013794898986816,0.669242262840271,10.815649032592773,2.2832608222961426,5.427097797393799
00:00:00:16.283,68,0.0,0.0,0.0,0.0,0.0,0.05037754401564598,0.45659831166267395,0.0,0.0,0.0,0.0,0.0,0.050111401826143265,0.45642372965812683,0.04593806713819504,0.0007940605282783508,0.038500722497701645,0.11030641198158264,-5.7681947509991005e-05,0.09511103481054306,0.00017767227836884558,0.021723952144384384,-0.0003376543172635138,0.25943806767463684,0.21290886402130127,0.0003304481506347656,-0.0002461168623995036,0.0401940643787384,0.03661895543336868,0.07904113084077835,0.08000735193490982,0.0003641861258074641,0.00882657803595066,-0.0004417569434735924,0.0013871084665879607,0.0009358009556308389,0.001811600523069501,0.37217265367507935,0.35570037364959717,0.16209670901298523,0.15016764402389526,-0.0007644212455488741,-0.000999698182567954,0.26262226700782776,0.18563087284564972,0.18599750101566315,6.312806362984702e-05,0.09687686711549759,0.09503336250782013,0.02285672351717949,0.028038788586854935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3617267608642578,0.4375855028629303,3.363103151321411,0.6582825183868408,11.00547981262207,2.400564432144165,5.474790096282959
00:00:00:18.300,68,0.0,0.0,0.0,0.0,0.0,0.049535490572452545,0.4596250057220459,0.0,0.0,0.0,0.0,0.0,0.04932212457060814,0.4594854712486267,0.03804624453186989,0.000637863005977124,0.034197915345430374,0.09399324655532837,9.759664862940554e-06,0.08394008874893188,0.00021251238649711013,0.02120288833975792,-0.0004184340941719711,0.2455739974975586,0.1971702128648758,0.00041542231338098645,-0.0003148457908537239,0.0378403477370739,0.034101180732250214,0.07398086786270142,0.07311118394136429,0.0004336475976742804,0.00872850976884365,-0.0002751765714492649,0.00106855109333992,0.000747217214666307,0.0015575524885207415,0.3010703921318054,0.2837701439857483,0.11529427766799927,0.10297802090644836,-0.0006441593286581337,-0.0007878942997194827,0.2616008520126343,0.17542408406734467,0.1757851243019104,5.383227107813582e-05,0.09342531859874725,0.09311845153570175,0.012507804669439793,0.015834426507353783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2327247858047485,0.42962363362312317,3.42214035987854,0.6493303775787354,10.653072357177734,2.525609254837036,5.713046073913574
00:00:00:18.316,68,0.0,0.0,0.0,0.0,0.0,0.048032332211732864,0.46295687556266785,0.0,0.0,0.0,0.0,0.0,0.047916751354932785,0.46289175748825073,0.032075587660074234,0.0005691586411558092,0.027716588228940964,0.08238343894481659,0.0012388968607410789,0.06696144491434097,0.00027246272657066584,0.019816994667053223,-0.0004570507735479623,0.217551589012146,0.17300575971603394,0.0002567553601693362,-0.0002687004453036934,0.034777842462062836,0.03109598346054554,0.07210993021726608,0.06935230642557144,0.0006237010238692164,0.008935037069022655,-0.00012742530088871717,0.000540464068762958,0.0007372924592345953,0.0015021298313513398,0.2390553057193756,0.2225843369960785,0.0637839287519455,0.05304000526666641,-0.0008738267351873219,-0.0009822137653827667,0.26389896869659424,0.1671643704175949,0.16750392317771912,2.9133148927940056e-05,0.08645443618297577,0.088462695479393,0.003190790070220828,0.004848254378885031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1121525764465332,0.4307842254638672,3.3769328594207764,0.66517174243927,10.24378776550293,2.6632778644561768,6.213564872741699
